,author,album,title,lyrics
10,Joaquín Sabina,Física y química,A La Orilla De La Chimenea,
11,Joaquín Sabina,El hombre del traje gris,"¡Al ladrón, al ladrón!","Parece, por lo que dicen
Que sigues preparando oposiciones a Carabanchel;
Ayer, tu nieta de quince
Vio como te sacaban a empujones de un cabaret
Parece
Que no eres más aquel carterista
De guante blanco y alma de artista…
Los buenos tiempos no han de volver
Me han dicho
Que con la artrosis de los nudillos
Se te resiste más de un bolsillo
Que ya ni cumples con la mujer
Me han dicho
Que cada bolso es una odisea
Que una señora en una pelea
Te ha puesto un ojo a la virulé
Tú que tenías la más exclusiva clientela
En cada golpe dejabas tu sello de autor;
Mientras a salvo reías y contabas las pelas
Alguien pasaba gritando ""¡al ladrón, al ladrón!""
¡Si no fuera por los pocos
Que, haciéndose los locos, apuntalan tu dignidad…!
Fingiendo que no se enteran
Te dejan que les guindes la cartera, para cenar
Me han dicho
Que te revienta que los chavales
Olviden que los buenos modales
Son esenciales para robar;
Tú sabes
Que para hacer una buena caja
No necesita usar la navaja
Un verdadero profesional
Tú siempre
Mimaste al pobre a costa del rico;
Lo que era un arte -¡mierda de pico!-
Está empezando a degenerar
Tú que tenías la más exclusiva clientela
En cada golpe dejabas tu sello de autor;
Mientras a salvo reías y contabas las pelas
Alguien pasaba gritando ""¡al ladrón, al ladrón!"""
12,Joaquín Sabina,19 días y 500 noches,A Mis Cuarenta Y Diez,
13,Joaquín Sabina,500 Noches para una Crisis (En Directo),A Mis Cuarenta y Diez (Directo),
14,Joaquín Sabina,"Hotel, dulce hotel",Amores eternos,
15,Joaquín Sabina,Física y química,Amor Se Llama El Juego,"Hace demasiados meses
Que mis payasadas no provocan tus ganas de reír
No es que ya no me intereses
Pero el tiempo de los besos y el sudor
Es la hora de dormir

Duele verte removiendo
La cajita de cenizas que el placer
Tras de si dejó
Mal y tarde estoy cumpliendo
La palabra que te di cuando juré
Escribirte una canción

Un dios triste y envidioso
Nos castigó
Por trepar juntos al árbol
Y atracarnos con la flor de la pasión
Por probar aquel sabor

El agua apaga el fuego
Y al ardor los años
Amor se llama el juego
En el que un par de ciegos
Juegan a hacerse daño
Y cada vez peor
Y cada vez más rotos
Y cada vez más tú
Y cada vez más yo
Sin rastro de nosotros

Ni inocentes, ni culpables
Corazones que desbroza el temporal
Carnes de cañón
No soy yo, ni tú, ni nadie
Son los dedos miserables que le dan
Cuerda a mi reloj

Y no hay lágrimas
Que valgan para volver
A meternos en el coche
Donde aquella noche en pleno carnaval
Te empecé a desnudar"
16,Joaquín Sabina,19 días y 500 noches,Arenas Movedizas,"Mañana cuando era tan pequeño
Por el Acantilado del Obispo caí
Persiguiendo un pájaro sin dueño
Y aterricé en un polvorín

De arenas movedizas
Bajo un cielo de betún
Caracolas que agonizan
Sin decir ni mu

Cuando el gallo a sueldo de la madrugada
Llegó con su kikirikí
Desperté soñando que viajaba
Desnudo con un maletín

De arenas movedizas
Bajo un cielo de alquiler
Alfileres que agonizan
Antes de nacer

A mi cita fui pero el horizonte
Se había cansado de esperar
Me llamó san Pedro por mi nombre
Y no le quise contestar

Y arenas movedizas
Bajo un cielo de almidón
Paquebotes que aterrizan
Sin pedir perdón

Arenas movedizas
Bajo un cielo regaliz
Ascensores que agonizan
Por la cicatriz"
17,Joaquín Sabina,"Hotel, dulce hotel",Así estoy yo sin ti,"Extraño como un pato en el Manzanares
Torpe como un suicida sin vocación
Absurdo como un belga por soleares
Vacío como una isla sin Robinsón
Oscuro como un túnel sin tren expreso
Negro como los ángeles de Machín
Febril como la carta de amor de un preso…
Así estoy yo, así estoy yo, sin ti
Perdido como un quinto en día de permiso
Como un santo sin paraíso
Como el ojo del maniquí
Huraño como un dandy con lamparones
Como un barco sin polizones…
Así estoy yo, así estoy yo, sin ti
Más triste que un torero
Al otro lado del telón de acero
Así estoy yo, así estoy yo, sin ti
Vencido como un viejo que pierde al tute
Lascivo como el beso del coronel
Furtivo como el Lute cuando era el Lute
Inquieto como un párroco en un burdel
Errante como un taxi por el desierto
Quemado como el cielo de Chernobil
Solo como un poeta en el aeropuerto…
Así estoy yo, así estoy yo, sin ti
Inútil como un sello por triplicado
Como el semen de los ahorcados
Como el libro del porvenir
Violento como un niño sin cumpleaños
Como el perfume del desengaño…
Así estoy yo, así estoy yo, sin ti
Más triste que un torero
Al otro lado del telón de acero
Así estoy yo, así estoy yo, sin ti
Amargo como el vino del exiliado
Como el domingo del jubilado
Como una boda por lo civil
Macabro como el vientre de los misiles
Como un pájaro en un desfile…
Así estoy yo, así estoy yo, sin ti
Más triste que un torero
Al otro lado del telón de acero
Así estoy yo, así estoy yo, sin ti"
18,Joaquín Sabina,Mentiras piadosas,Ataque de tos,"Tendrías que haber visto el careto
Angelical de un servidor
El dia de mi primera comunión
Disfrazado de contraalmirante
Y repeinado el pelo con fijador
No veas como era el cante
Que iba dando yo
Cuando el párroco se inclinó
Hacia mí temblé de emoción;
Iba a llegar
A mis labios el dulce manjar...

Pero no
Pude recibir el sacramento
Me lo impidió un violento
Ataque de tos

Dieciseis veranos después
Me ví de pingüino ante el altar otra vez
Decidido a casarme, por fin, con Mari Cruz
Al sonar la marcha nupcial
A mi pobre suegra le dió por llorar
Me hizo un guiño la novia
Bajo el velo de tul
""¿Quieres -Dijo Fray Bernabé-
Por esposa a esta mujer?""
Raudo y feliz
Iba yo a responder que sí...

Pero no
Pude consumar el casamiento
Me lo impidió un violento
Ataque de tos

Cuando la perentela que nunca me tragó
Supo que me moría
Alrededor del lecho de dolor
Velaron noche y día;
Pero no soy tan tonto para no advertir
Que al calorcillo de la herencia
Se reconcilian Abel y Cain
Y el tajo pasa por Valencia

La bruja de mi nuera ""papa
-me dijo- le conviene testar
Póngase usted
Gafas, le traigo pluma y papel""...

Pero no
Conseguí firmar el testamento
Porque me mató un violento
Ataque de tos

Pero no
Pude recibir el sacramento
Me lo impidió un violento
Ataque de tos

Pero no
Pude consumar el casamiento
Me lo impidió un violento
Ataque de tos

Pero no
Conseguí firmar el testamento
Porque me mató un violento
Ataque de tos"
19,Joaquín Sabina,Mentiras piadosas,A ti que te lo haces,"A ti que te lo haces
De baile de disfraces cada día

A ti que te lo montas
De niña tonta en medio de una orgía

A ti que me has ganado
Con un naipe marcado la partida

A ti que te has colado
En el coto privado de mi vida

A ti que aun no sabes
Los besos que te caben en la boca

A ti que has comprendido
Que a veces el olvido se equivoca

A ti que has preferido
Vivir como si nada fuera eterno

A ti que que has compartido
Conmigo una almohada en el infierno

A ti que has decidido no prestar atención
A frases del tipo ""ese menda va ser tu ruina""

A ti que has detenido con un beso el reloj
A ti que me enfermas
A ti que eres mi envenenada medicina

A ti que vas deprisa
Por miedo a que la risa se marchite

A ti que te diviertes
Jugando con la muerte al escondite

A ti que has levantado
El árbol de tu nido en el tejado

A ti que has dirigido
La fleha de Cupido a mi costado

A ti que has decidido no prestar atención
A frases del tipo ""ese menda va ser tu ruina""

A ti que has detenido con un beso el reloj
A ti que me enfermas
A ti que eres mi envenenada medicina"
20,Joaquín Sabina,"Yo, mí, me, contigo",Aves de paso,"A las peligrosas rubias de bote
Que en relicario de sus escotes
Perfumaron mi juventud
Al milagro de los besos robados
Que en el diccionario de mis pecados
Guardaron su pétalo azul
A la impúdica niñera madura
Que en el mapamundi de su cintura
Al niño que fuí espabiló
A la flor de lis de las peluqueras
Que me trajo el tren de la primavera
Y el tren
Del invierno me arrebató
A las flores de un día
Que no duraban
Que no dolían
Que te besaban
Que se perdían
Damas de noche
Que en asiento de atrás de un coche
No preguntaban
Si las querías
Aves de paso
Como pañuelos cura-fracasos
A la misteriosa viuda de luto
Que sudó conmigo un minuto
Tres pisos en ascensor
A la intrépida ""cholula"" argentina
Que en el corazón con tinta china
Me tatuó ""peor para el sol""
A las casquivanas novias de nadie
Que coleccionaban canas al aire
Burlón de la ""nit de Sant Joan""
A la reina de los bares del puerto
Que una noche depués de un concierto
Me abrió
Su almacén de besos con sal
A las flores de un día
Que no duraban
Que no dolían
Que te besaban
Que se perdían
Damas de noche
Que en asiento de atrás de un coche
No preguntaban
Si las querías
Aves de paso
Como pañuelos cura-fracasos
A Justine, a Marylin, a Jimena
A la Mata-Hari, a la Magdalena
A Fátima y a Salomé
A los ojos verdes como aceitunas
Que robaban la luz de la luna de miel
De un cuarto de hotel, dulce hotel
A las flores de un día
Que no duraban
Que no dolían
Que te besaban
Que se perdían
Damas de noche
Que en asiento de atrás de un coche
No preguntaban
Si las querías
Aves de paso
Como pañuelos cura-fracasos"
21,Joaquín Sabina,19 días y 500 noches,A vuelta de correo,
22,Joaquín Sabina,19 días y 500 noches,Ay Calixto,
23,Joaquín Sabina,Vinagre y rosas,Ay! Carmela,
24,Joaquín Sabina,Alivio de luto,Ay! Rocío,"Ay! rocío, caviar de riofrío
Sola entre el gentío
Tortolica en celo
Como un grano de anís
Un weekend en parís
Un deshielo

Un ducados de más
Qué desastre de adanes y evas
O quizá una canción
Si supieras que yo
Te hago caso de ombligos a brevas

Cuántas noches al alba
Me barajo la calva
Que amenaza debajo del pelo
Cuántas tardes dormido
Olvido la flor del subsuelo

Y después resucito
Como un ratoncito silvestre
Tan boinón, tan paisano
Tan bribón, tan urbano
Tan fulano, tan picapedrestre

Cada mes cumples años
Saltando peldaños
Dos a dos, tres a tres
Cinco a cuatro
Como un terco vaivén
Del vagón al arcén del teatro

Yo te miro crecer
Con la baba mojando zaguanes
Y me quedo a dos velas
Con tan poquita tela que cortarte
Malditos don juanes

Sufro tu adolescencia
Como una insolencia
Que disfruta volviéndome loco
No seas hija de puta
Si me das jaque mate
Me enroco

O me vengo cantando
Y contando
Mentiras ripiosas
Sweet melocotoncita
Bendición, afrodita
Coronita de espinas y rosas

No me cuentes tu vida
Que no es comercial
Me decías en e-mail
Parricida
Ya no tienes edad, añadías
Basta de despedidas

Y en lugar de llorar
Como a mano tenía un pentagrama
Empecé esta canción
Si la acabo me meto en la cama"
25,Joaquín Sabina,Juez y parte,Balada de Tolito,"[Verse 1]
Tolito tiene un dado y una paloma
Una tos y una copa llena de vino
Y unas ropas con polvo de los caminos
Caminos que jamás llevaban a Roma

Mago de las barajas y las sonrisas
Malabarista errante de las plazuelas
Corazón que le sale por la camisa
Botas de andar sin prisa ni medias suelas

[Chorus 1]
Empieza la función
Pongan atención
El circo cabe en un asiento del vagón
Empieza la función
Pongan atención
Billete de segunda, próxima estación

[Verse 2]
A no ser por el arma y por la melena
De sus vecinos no se distinguiría
Su oficio es retorcerle el cuello a la pena
Y abrir una ventana a la fantasía

Para dormir a pierna suelta le basta
Con tener para vino, pan y tabaco
Igual que rifa un peine, echa las cartas
Y saca el rey de bastos de tu sobaco

[Chorus 2]
Si quieres verlo ven
Busca en el andén
Tolito siempre está bajando de algún tren
Si quieres verlo ven
Busca en el andén
Tolito siempre está subiendo al primer tren

[Verse 3]
Cada vez que se encuentran los caminantes
Se cuentan sus andanzas y sus querellas
Le cuelgan a la noche un interrogante
Y llegan hasta el fondo de las botellas

Luego entre cuatro muros y dos escuetos
Colchones rescatados de la miseria
Se intercambian los trucos y los secretos
Del arte de ir rodando de feria en feria

[Chorus 3]
Ponnos dos copas más
Antes de cerrar
Morirse debe ser dejar de caminar
Ponnos dos copas más
Antes de cerrar
Hoy bebo a tu salud, mañana Dios dirá

[Outro]
Empieza la función
Pongan atención
El circo cabe en un asiento del vagón

Si quieres verlo ven
Busca en el andén
Tolito siempre está bajando de algún tren

Ponnos dos copas más
Antes de cerrar
Hoy bebo a tu salud, mañana Dios dirá"
26,Joaquín Sabina,19 días y 500 noches,Barbi superestar,"Tenía los pies diminutos
Y, unos, ojos, color verde marihuana
A los catorce fue reina del instituto
El curso que repetí
Las del octavo derecha dijeron:
""otra que sale rana""
Cuando, en ""Crónicas Marcianas"", la vieron
Haciendo streap-tease

En sus quimeras de porcelanosa
Conquistaba a Al Pacino
Los de ""el Rayo""... no éramos gran cosa
Para su merced
Si, la chiquita de Mariquita Pérez
Tuviera un buen padrino
Los productores, que saben de mujeres
Le darían un papel

Pezón de fresa, lengua de caramelo
Corazón de bromuro
Supervedette, puta de lujo, modelo
Estrella de culebrón
Había futuro, en las pupilas hambrientas
De los hombres maduros
Enamorarse, un poco más de la cuenta
Era una mala inversión

Debutó de fulana de tal
En un vil melodrama
Con sus veinte minutos de fama
Retiró a su mamá
El guión le exigía, cada vez, más
Escenas de cama
Todavía, por Vallecas, la llaman:
Barbi Superestar

La noche antes de la noche de bodas
Arrojó la toalla
El novio, con un frac pasado de moda
Enviudó ante el altar
Mientras, Barbi, levitaba, en la Harley
De un chulo de playa
Que, entre el Tarot, Corto Maltés y Bob Marley
Le propuso abortar

Al infierno se va por atajos
Jeringas, recetas
Ayer, hecho un pingajo
Me dijo, en el ""tigre"" de un bar:
""¿Dónde está la canción, que, me hiciste
Cuando eras poeta?""
""Terminaba tan triste
Que nunca la pude empezar""

Por esos labios, que sabían a puchero
De pensiones inmundas
Habría matado yo, que, cuando muero
Ya nunca es por amor
Se masticaba, en los billares, que, el Rayo
Había bajado a segunda
Por la M-30, derrapaba el caballo
De la desilusión

Debutó de fulana de tal
En un vil melodrama
Con sus veinte minutos de fama
Retiró a su mamá
El guión le exigía, cada vez, más
Escenas de cama
Por Vallecas, ya nadie la llama:
Barbi Superestar"
27,Joaquín Sabina,500 Noches para una Crisis (En Directo),Barbi Superestar (Directo),
28,Joaquín Sabina,,Barbi Superstar,"Tenía los pies diminutos
Y, unos, ojos, color verde marihuana
A los catorce fue reina del instituto
El curso que repetí
Las del octavo derecha dijeron:
""otra que sale rana""
Cuando, en ""Crónicas Marceianas"", la vieron
Haciendo streap-tease
En sus quimeras de porcelanosa
Conquistaba a Al Pacino
Los de ""el Rayo""... no éramos gran cosa
Para su merced
Si, la chiquita de Mariquita Pérez
Tuviera un buen padrino
Los productores, que saben de mujeres
Le darían un papel
Pezón de fresa, lengua de caramelo
Corazón de bromuro
Supervedette, puta de lujo, modelo
Estrella de culebrón
Había futuro, en las pupilas hambrientas
De los hombres maduros
Enamorarse, un poco más de la cuenta
Era una mala inversión
Debutó de fulana de tal
En un vil melodrama
Con sus veinte minutos de fama
Retiró a su mamá
El guión le exigía, cada vez, más
Escenas de cama
Todavía, por Vallecas, la llaman:
Barbi Superestar
La noche antes de la noche de bodas
Arrojó la toalla
El novio, con un frac pasado de moda
Enviudó ante el altar
Mientras, Barbi, levitaba, en la Harley
De un chulo de playa
Que, entre el Tarot, Corto Maltés y Bob Marley
Le propuso abortar
Al infierno se va por atajos
Jeringas, recetas
Ayer, hecho un pingajo
Me dijo, en el ""tigre"" de un bar:
""¿Dónde está la canción, que, me hiciste
Cuando eras poeta?""
""Terminaba tan triste
Que nunca la pude empezar""
Por esos labios, que sabian a puchero
De pensiones inmundas
Habría matado yo, que, cuando muero
Ya nunca es por amor
Se masticaba, en los billares, que, el Rayo
Había bajado a segunda
Por la M-30, derrapaba el caballo
De la desilusión
Debutó de fulana de tal
En un vil melodrama
Con sus veinte minutos de fama
Retiró a su mamá
El guión le exigía, cada vez, más
Escenas de cama
Por Vallecas, ya nadie la llama:
Barbi Superestar"
